time             ,language   ,distributed,seed,hidden,rate,momentum,ticks,rand_range,num_train,boundary_precision,boundary_recall,boundary_F,word_precision,word_recall,word_F,expA_accuracy,expB_accuracy,expA_std,expB_std
03/28 at 23:18:57,danish     ,False      ,0.0 ,80.0  ,0.13,0.92    ,1.0  ,0.25      ,696692.0 ,0.56              ,0.56           ,0.56      ,0.235         ,0.235      ,0.235 ,0.7          ,0.699        ,0.072   ,0.074   
03/28 at 23:19:32,danish     ,False      ,0.0 ,80.0  ,0.13,0.92    ,1.0  ,0.25      ,69669.0  ,0.703             ,0.616          ,0.656     ,0.349         ,0.306      ,0.326 ,0.731        ,0.771        ,0.075   ,0.069   
03/28 at 23:24:06,danish     ,False      ,0.0 ,80.0  ,0.13,0.92    ,1.0  ,0.32      ,696692.0 ,0.702             ,0.544          ,0.613     ,0.319         ,0.248      ,0.279 ,0.755        ,0.711        ,0.066   ,0.075   
03/28 at 23:24:41,danish     ,False      ,0.0 ,80.0  ,0.13,0.92    ,1.0  ,0.32      ,69669.0  ,0.604             ,0.625          ,0.614     ,0.305         ,0.316      ,0.31  ,0.757        ,0.766        ,0.071   ,0.068   
03/28 at 23:29:16,danish     ,False      ,0.0 ,80.0  ,0.13,0.95    ,1.0  ,0.18      ,696692.0 ,0.667             ,0.749          ,0.706     ,0.4           ,0.45       ,0.423 ,0.682        ,0.674        ,0.075   ,0.075   
03/28 at 23:29:51,danish     ,False      ,0.0 ,80.0  ,0.13,0.95    ,1.0  ,0.18      ,69669.0  ,0.476             ,0.651          ,0.55      ,0.145         ,0.199      ,0.168 ,0.714        ,0.712        ,0.071   ,0.073   
03/28 at 23:34:25,danish     ,False      ,0.0 ,80.0  ,0.13,0.95    ,1.0  ,0.25      ,696692.0 ,0.631             ,0.658          ,0.644     ,0.325         ,0.339      ,0.332 ,0.715        ,0.609        ,0.071   ,0.076   
03/28 at 23:35:00,danish     ,False      ,0.0 ,80.0  ,0.13,0.95    ,1.0  ,0.25      ,69669.0  ,0.544             ,0.704          ,0.614     ,0.244         ,0.316      ,0.276 ,0.746        ,0.723        ,0.07    ,0.071   
03/28 at 23:39:35,danish     ,False      ,0.0 ,80.0  ,0.13,0.95    ,1.0  ,0.32      ,696692.0 ,0.677             ,0.642          ,0.659     ,0.371         ,0.352      ,0.361 ,0.646        ,0.66         ,0.075   ,0.079   
03/28 at 23:40:10,danish     ,False      ,0.0 ,80.0  ,0.13,0.95    ,1.0  ,0.32      ,69669.0  ,0.537             ,0.736          ,0.621     ,0.214         ,0.293      ,0.247 ,0.662        ,0.704        ,0.074   ,0.073   
