language   ,word,subj,condition,error ,type  
english,47  ,2   ,A  ,13.171,foil  
english,48  ,2   ,A  ,5.564 ,target
english,49  ,2   ,A  ,10.558,foil  
english,50  ,2   ,A  ,7.227 ,target
english,51  ,2   ,A  ,11.81 ,foil  
english,52  ,2   ,A  ,13.495,foil  
english,53  ,2   ,A  ,8.537 ,target
english,54  ,2   ,A  ,21.973,foil  
english,55  ,2   ,A  ,11.866,target
english,56  ,2   ,A  ,5.553 ,target
english,57  ,2   ,A  ,19.027,foil  
english,58  ,2   ,A  ,9.148 ,foil  
english,59  ,2   ,A  ,12.303,target
english,60  ,2   ,A  ,8.002 ,target
english,61  ,2   ,A  ,7.258 ,foil  
english,62  ,2   ,A  ,6.098 ,target
english,63  ,2   ,A  ,11.471,foil  
english,64  ,2   ,A  ,7.953 ,target
english,65  ,2   ,A  ,13.22 ,foil  
english,66  ,2   ,A  ,20.601,foil  
english,67  ,2   ,A  ,20.829,target
english,68  ,2   ,A  ,16.638,foil  
english,69  ,2   ,A  ,11.037,target
english,70  ,2   ,A  ,6.737 ,target
english,71  ,2   ,A  ,13.668,foil  
english,0   ,2   ,B  ,47.338,foil  
english,1   ,2   ,B  ,17.951,target
english,2   ,2   ,B  ,15.909,target
english,3   ,2   ,B  ,32.199,foil  
english,4   ,2   ,B  ,15.057,target
english,5   ,2   ,B  ,38.407,foil  
english,6   ,2   ,B  ,17.113,target
english,7   ,2   ,B  ,50.584,foil  
english,8   ,2   ,B  ,52.409,foil  
english,9   ,2   ,B  ,13.407,target
english,10  ,2   ,B  ,20.366,foil  
english,11  ,2   ,B  ,8.588 ,target
english,12  ,2   ,B  ,30.11 ,foil  
english,13  ,2   ,B  ,5.431 ,target
english,14  ,2   ,B  ,18.04 ,foil  
english,15  ,2   ,B  ,5.915 ,target
english,16  ,2   ,B  ,7.244 ,target
english,17  ,2   ,B  ,29.057,foil  
english,18  ,2   ,B  ,14.14 ,target
english,19  ,2   ,B  ,37.473,foil  
english,20  ,2   ,B  ,42.564,foil  
english,21  ,2   ,B  ,17.79 ,target
english,22  ,2   ,B  ,13.684,target
english,23  ,2   ,B  ,20.196,foil  
english,24  ,2   ,B  ,23.926,foil  
english,25  ,2   ,B  ,4.576 ,target
english,26  ,2   ,B  ,11.961,foil  
english,27  ,2   ,B  ,8.201 ,target
english,28  ,2   ,B  ,26.775,foil  
english,29  ,2   ,B  ,12.078,target
english,30  ,2   ,B  ,13.234,target
english,31  ,2   ,B  ,33.967,foil  
english,32  ,2   ,B  ,9.506 ,target
english,33  ,2   ,B  ,34.133,foil  
english,34  ,2   ,B  ,15.466,foil  
english,35  ,2   ,B  ,6.266 ,target
english,36  ,2   ,B  ,5.026 ,target
english,37  ,2   ,B  ,21.622,foil  
english,38  ,2   ,B  ,8.128 ,foil  
english,39  ,2   ,B  ,7.23  ,target
english,40  ,2   ,B  ,18.15 ,foil  
english,41  ,2   ,B  ,12.326,target
english,42  ,2   ,B  ,32.995,foil  
english,43  ,2   ,B  ,8.413 ,target
english,44  ,2   ,B  ,3.406 ,target
english,45  ,2   ,B  ,25.801,foil  
english,46  ,2   ,B  ,17.955,target
english,47  ,2   ,B  ,13.38 ,foil  
english,48  ,2   ,B  ,7.31  ,target
english,49  ,2   ,B  ,17.503,foil  
english,50  ,2   ,B  ,9.474 ,target
english,51  ,2   ,B  ,6.538 ,foil  
english,52  ,2   ,B  ,20.272,foil  
english,53  ,2   ,B  ,7.455 ,target
english,54  ,2   ,B  ,27.537,foil  
english,55  ,2   ,B  ,24.281,target
english,56  ,2   ,B  ,4.726 ,target
english,57  ,2   ,B  ,22.626,foil  
english,58  ,2   ,B  ,16.041,foil  
english,59  ,2   ,B  ,10.706,target
english,60  ,2   ,B  ,9.798 ,target
english,61  ,2   ,B  ,14.273,foil  
english,62  ,2   ,B  ,7.04  ,target
english,63  ,2   ,B  ,4.58  ,foil  
english,64  ,2   ,B  ,5.011 ,target
english,65  ,2   ,B  ,19.336,foil  
english,66  ,2   ,B  ,27.297,foil  
english,67  ,2   ,B  ,11.787,target
english,68  ,2   ,B  ,15.315,foil  
english,69  ,2   ,B  ,9.261 ,target
english,70  ,2   ,B  ,12.538,target
english,71  ,2   ,B  ,20.492,foil  
